feature,importance
wht%,125123653.12376373
blk_f%,97824006.66073096
blk_m%,97824006.42228246
other%,97040725.98029092
edumid_age45%,94297334.74003236
age_45%,-94059516.566521
edumid_age65%,79222551.74288587
age_65%,-78984729.8245304
other_m%,70460249.58798264
other_f%,70460247.34400958
blk%,69676967.95521986
edu_high%,65027042.44816939
edulow_age45%,59602780.16990311
labor%,-47836384.7997256
empl%,47836384.71506721
armed%,47836383.364161395
unempl%,47836380.315832615
edulow_age65%,44527989.064021714
wht_m%,42377321.91904746
wht_f%,42377321.38622992
eduhigh_age18%,-40112262.893864356
edu_low%,34456736.41621641
eduhigh_age45%,29032469.82816741
edumid_age18%,25152602.132726002
age_18%,-24914780.403964095
eduhigh_age65%,13957684.722108757
edulow_age18%,-9541956.23630952
edu_mid%,-237821.7032627836
widow%,4.482909067003173
income_10%,-4.364142580749032
married%,3.005478042456061
sepdiv%,2.866418071088303
income_15-25%,-2.8512868659059754
income_10-15%,-2.8171991738989703
income_25%,-2.1005296149031096
poverty%,0.974834307576166
native%,0.7835014715117772
single%,-0.4909302297599844
hispanic%,-0.15704003659059051
marital_ratio,-0.054776326044014695
income_percapita,1.1136548300207229e-05
area_sqmiles,9.723743617813381e-06
houses_density,8.430075025196836e-06
income_median,-3.229080377600379e-06
pop_density,-1.8138618362420521e-06
pop_tot,-2.802379552176026e-08
