feature,importance
edulow_age45%,152733134.2504603
blk_m%,132337422.39636831
blk_f%,132337421.20880567
age_45%,-98138506.33659713
other%,93386792.48772596
blk%,-85118797.34744965
eduhigh_age18%,-72848067.69741884
edumid_age45%,66686832.40609634
edumid_age18%,-61371776.394482896
eduhigh_age65%,-59424935.15683799
wht%,57153676.66191735
eduhigh_age45%,55210541.37509179
edu_low%,-54594629.77873514
edumid_age65%,-47948643.234427474
other_f%,-46168168.483576685
other_m%,-46168167.30437354
edu_high%,42927959.13876908
edulow_age65%,38097653.85436577
edu_mid%,31451669.177007873
age_18%,29920105.199433424
edulow_age18%,24674522.223473888
age_65%,16496970.73856183
wht_f%,-9935051.952497026
wht_m%,-9935051.294474833
empl%,5917889.025310724
labor%,-5917888.919720415
armed%,5917887.883962427
unempl%,5917886.912916434
widow%,7.219515224916493
married%,4.92231670722942
sepdiv%,3.5198455512075455
income_25%,-2.113696366606035
single%,1.085013425420139
income_15-25%,-1.0686784615709097
income_10-15%,-0.7926542887664062
income_10%,-0.6476493566874354
native%,0.5371079383534976
poverty%,-0.40185855816289895
hispanic%,-0.12263278727016107
marital_ratio,0.0010132731722849145
houses_density,6.071653207950511e-05
pop_density,-1.8511691914781532e-05
income_percapita,4.33100458407838e-06
income_median,-3.929982781087095e-06
area_sqmiles,2.7516466169837747e-06
pop_tot,-1.2912416773324638e-08
