feature,importance
blk_m%,116028476.07227227
blk_f%,116028475.7402463
wht_m%,94209518.1577381
wht_f%,94209517.20507324
other_m%,81942760.17309545
other_f%,81942757.52054018
blk%,-57392175.56481275
eduhigh_age45%,42258670.4287744
edu_high%,-41217565.32518484
eduhigh_age18%,36807228.28150943
wht%,-35573216.811058
edulow_age45%,35480866.36744774
edu_low%,-34439758.36218981
edulow_age18%,30029423.024286214
other%,-23306458.280991398
eduhigh_age65%,23258143.14159584
age_65%,17959418.31283388
edumid_age45%,17481685.487881623
edulow_age65%,16480335.797123311
edu_mid%,-16440579.77630879
edumid_age18%,12030244.008992612
age_18%,4410334.967512833
empl%,3641805.9499243414
labor%,-3641805.569678179
armed%,3641804.589549341
unempl%,3641803.3889741376
edumid_age65%,-1518840.1776438493
age_45%,-1041109.8415095218
widow%,6.4602577411691495
married%,3.755045986623321
income_25%,-2.580950129027919
sepdiv%,2.5027452823661553
income_10-15%,-2.2703820185024504
income_15-25%,-1.6953526576041538
native%,0.7977210714829347
income_10%,-0.47803907271020335
hispanic%,-0.4479485148124705
poverty%,-0.3320080477140568
single%,-0.14570149844620886
marital_ratio,-0.07440549273069204
houses_density,5.032938348026356e-05
pop_density,-1.3713708333040438e-05
area_sqmiles,1.0219763946738785e-05
income_percapita,4.760239522195356e-06
income_median,-3.4279694118827766e-06
pop_tot,-2.3493149672353136e-08
