feature,importance
edu_high%,-70220488.60975611
edu_mid%,-64015886.515157156
wht_m%,62253708.18744104
wht_f%,62253707.42892785
other_m%,59949666.46863116
other_f%,59949664.25405276
edu_low%,-59362338.34950407
eduhigh_age45%,53669142.5300154
blk_m%,49744936.84331036
blk_f%,49744936.03892463
age_18%,49625312.2074194
edumid_age45%,47464541.449387886
edulow_age45%,42810996.28453661
age_65%,42158222.98068479
empl%,35588583.2400754
labor%,-35588583.1602168
armed%,35588581.92062186
unempl%,35588580.380968705
eduhigh_age65%,28062260.28892728
edumid_age65%,21857660.691088066
eduhigh_age18%,20595173.163246702
edulow_age65%,17204110.124259103
age_45%,16551339.845185623
edumid_age18%,14390572.500699481
edulow_age18%,9737024.061687212
blk%,7901484.767822954
wht%,-4607286.103669794
other%,-2303243.8831675756
widow%,7.590732724249354
married%,5.002156286946951
sepdiv%,3.875585870104811
income_25%,-1.9067791803148608
income_10%,-1.8529825312706676
income_15-25%,-1.7208256829752293
single%,1.3407428482118147
income_10-15%,-1.175720846598487
native%,0.816637948319817
hispanic%,-0.28176642288627207
poverty%,-0.09920473309989013
marital_ratio,-0.0651646961536033
houses_density,4.569460261587217e-05
pop_density,-1.31437720549752e-05
income_percapita,6.379890310323211e-06
area_sqmiles,4.26480078492417e-06
income_median,-3.4248948592985017e-06
pop_tot,-2.0437623919144038e-08
