feature,importance
edumid_age45%,204578178.01488286
empl%,125645551.06876367
labor%,-125645550.73460554
armed%,125645549.61527552
unempl%,125645547.55386439
edumid_age18%,122098498.81080365
age_45%,-111595475.98779798
edumid_age65%,99355159.2059568
edu_mid%,-92982704.51455708
eduhigh_age45%,88751577.36244355
blk_f%,80678359.36126317
blk_m%,80678358.75370894
wht_m%,80482281.00984362
wht_f%,80482280.51921162
edulow_age45%,71729870.23794003
other_m%,59564122.5907488
other_f%,59564120.959258266
edu_low%,39865605.7461159
blk%,-37352590.55579735
wht%,-37156512.05502731
edulow_age65%,-33493155.11047274
age_18%,-29115793.34950377
edu_high%,22843894.995902132
eduhigh_age65%,-16471440.477293085
other%,-16238353.450718045
edulow_age18%,-10749810.609200964
age_65%,-6372453.647430995
eduhigh_age18%,6271898.904026822
income_25%,-3.525925762437435
income_10%,-2.8783674849937624
widow%,2.402550933021787
married%,2.297230836983474
income_10-15%,-2.2469952349994493
single%,-1.8756818300874403
sepdiv%,1.7761551692237987
income_15-25%,-1.7215394584906272
native%,0.9366651843191866
poverty%,0.6263939475567429
hispanic%,-0.2216642477156687
marital_ratio,-0.028654628023310456
houses_density,-2.4441429383383096e-05
area_sqmiles,1.7471959833296766e-05
income_percapita,1.727674556742393e-05
pop_density,1.1011856738731357e-05
income_median,-2.9570396751686767e-06
pop_tot,-2.3750269185379636e-08
