feature,importance
blk_m%,81282647.59044242
blk_f%,81282647.58253984
wht%,77269428.3678957
edulow_age45%,71943481.22578435
edumid_age45%,60197119.64223528
eduhigh_age45%,47100966.75160752
edulow_age65%,45416459.93774326
other_m%,44350124.41695379
other_f%,44350121.68160388
age_45%,-41144918.79957721
edumid_age65%,33670105.47656669
edu_low%,-30798564.259199332
age_18%,21326506.75521942
eduhigh_age65%,20573950.780402906
other%,20325547.124099515
edu_mid%,-19052206.313238755
blk%,-16606977.556472216
eduhigh_age18%,-15370455.40782385
age_65%,-14617901.344036005
unempl%,-13704494.727460079
armed%,-13704491.586859144
empl%,-13704490.194014698
labor%,13704490.18074782
wht_f%,-12593758.255072698
wht_m%,-12593757.640870534
edulow_age18%,9472055.869200574
edu_high%,-5956054.176063158
edumid_age18%,-2274301.982742388
widow%,7.288042938273924
married%,4.941200220403233
sepdiv%,4.224591442429922
income_15-25%,-2.5696161534487034
income_10%,-2.4019941749875917
income_10-15%,-1.9285673556360519
income_25%,-1.9095263469826038
single%,1.291967334446971
native%,0.8133075212816464
hispanic%,-0.2868871262828209
poverty%,0.23604197198370502
marital_ratio,-0.06413060845664859
houses_density,3.0893535904822665e-05
pop_density,-8.621590087918467e-06
income_percapita,8.39503807655698e-06
area_sqmiles,7.675160021856238e-06
income_median,-3.4415196625492674e-06
pop_tot,-1.9327456970828554e-08
